,word,match_rate
0,rossa,1.466406355190521
1,jetty,0.8378214622323953
2,wizzo,0.692540729769759
3,cuppa,0.9066918001885014
4,cohoe,1.0087518513531708
5,gurks,1.1596203042951394
6,squad,1.2327992459943449
7,beisa,1.684798707418877
8,shrug,1.1765854315335937
9,fossa,1.2422243166823752
10,fluyt,0.8855527130739195
11,camus,1.3470445671199678
12,speed,1.1928773394371885
13,mamil,1.0873165477312507
14,array,0.8770701494546923
15,polio,0.9736098020735156
16,barns,1.4947488891880976
17,panes,1.6611687087653157
18,souts,1.1664198195772182
19,limas,1.5274000269287733
20,fetch,1.0045778914770431
21,queck,0.8846102060051164
22,twink,0.9163188366769893
23,graze,1.2955432880032314
24,crock,0.8619227144203582
25,almud,1.1699205601184866
26,oohed,1.0375656388851489
27,colog,0.8022081594183385
28,wisht,1.1536286522148915
29,beard,1.4353709438535074
30,samel,1.6758448902652485
31,ahind,1.22229702437054
32,brung,0.9421031372021005
33,barca,0.9781876935505588
34,mahal,0.9373232799245994
35,jambe,1.1402315874511917
36,plush,1.1469637807997846
37,bruja,1.0482025043759258
38,howre,1.2389928638750505
39,middy,0.7625555405951259
40,kabab,0.649387370405278
41,zeals,1.553655580988286
42,mazel,1.266190925003366
43,sputa,1.4322068129796688
44,goory,0.88124410933082
45,pails,1.5271307391948297
46,scogs,1.0081459539517974
47,snool,1.201157937255958
48,poboy,0.7332704995287465
49,doest,1.5764103945065302
50,orixa,1.3280597818769355
51,quipo,0.9394775817961492
52,burbs,1.0448364077016292
53,goads,1.4575871819038644
54,blaud,1.1330954625016831
55,flocs,1.1990036353844082
56,harim,1.281607647771644
57,mamey,1.1595529823616535
58,primp,0.8833984112023697
59,lathy,1.171334320721691
60,lunes,1.5127911673623267
61,staps,1.2417530631479736
62,salad,1.2669314662717113
63,agony,1.2231048875723711
64,gusli,1.2622189309276963
65,damps,1.3377541402989095
66,tocks,1.2321933485929717
67,hoick,0.9732731924060859
68,marry,1.029688972667295
69,amply,1.1176787397334051
70,glisk,1.1847313854853911
71,pulis,1.296957048606436
72,apter,1.5285444997980342
73,shell,1.2325299582604012
74,capas,1.1563215295543288
75,saunf,1.3452268749158476
76,kutis,1.2521206409048067
77,teggs,1.2147569678201158
78,halsh,1.2247879359095193
79,gamma,0.6908576814326107
80,tardy,1.277837619496432
81,tease,1.5177729904402855
82,towts,1.0509627036488487
83,abuts,1.395651003096809
84,allee,1.0831425878551233
85,chins,1.2129392756159958
86,rolly,0.9977783761949643
87,situs,1.1391544365154167
88,bards,1.4470849602800593
89,phyma,1.013464386697186
90,torrs,1.2744715228221355
91,chace,1.1221893092769624
92,bikky,0.666621785377676
93,stoor,1.2744715228221355
94,quink,0.8126430591086576
95,wedgy,0.9509896324222432
96,vises,1.2003500740541269
97,swore,1.5491450114447287
98,upsee,1.2112562272788474
99,gyves,1.1959741483775415
100,heapy,1.289215026255554
101,gilas,1.4923926215160899
102,gairs,1.5567523899286388
103,yonic,1.108051703244917
104,wagon,1.1401642655177058
105,rance,1.510502221623805
106,swail,1.4497778376194965
107,laxed,1.2770297562946007
108,panne,1.2210852295677932
109,tabus,1.395651003096809
110,anomy,1.2581122929850546
111,swarm,1.386831829810152
112,sword,1.2928504106637944
113,pharm,1.1540325838158072
114,penes,1.2405412683452268
115,snoek,1.5083479197522554
116,razet,1.4066244782550155
117,nahal,1.0044432476100713
118,kapus,1.3164804093173557
119,lokey,1.2406085902787127
120,gobos,0.9806786050895382
121,jails,1.3976033391679008
122,afars,1.23353978726269
123,nerka,1.4802073515551366
124,cundy,0.8834657331358556
125,snark,1.4919213679816885
126,intra,1.4474888918809747
127,bundh,0.8279924599434496
128,tanga,0.986670257169786
129,baaed,1.1368654907768951
130,solus,1.1718728961895786
131,senor,1.6938871684394776
132,umami,1.0436246128988824
133,wared,1.394573852161034
134,sharp,1.441497239800727
135,pewed,0.8277904941429918
136,tuktu,0.5321125622727885
137,knowd,0.886966473677124
138,dawds,1.1077824155109735
139,flurr,0.7974283021408375
140,inert,1.4552309142318567
141,taxus,1.301669583950451
142,ruana,1.129325434226471
143,sulci,1.2878685875858356
144,jaded,1.0438939006328263
145,othyl,1.0578968627978995
146,redig,1.2964857950720345
147,manky,1.0638885148781474
148,ovism,1.231789416992056
149,matlo,1.3432745388447556
150,cease,1.4323414568466406
151,perae,1.2998518917463309
152,sixes,1.1701898478524304
